model,modelAge,name,age,mileage,state,owners,bodyType,numberOfDoors,fuelType,vehicleTransmission,drive,color,equipment,price,engineDisplacement,enginePower,technicalPassport
X6,13,30d,11,186000,не битый,2,SUV,5,diesel,AT,4wd,white,Базовая,1250000,3.0,235,1
5ER,11,535i,9,103000,не битый,2,sedan,4,petrol,AT,4wd,black,Touring,1250000,3.0,306,1
5ER,32,530i,26,385000,не битый,3,wagon,5,petrol,AT,rwd,grey,Базовая,290000,3.0,218,1
3ER,22,325xi,18,232000,не битый,3,sedan,4,petrol,AT,4wd,silver,Базовая,350000,2.5,192,1
5ER,11,528i,8,152000,не битый,2,sedan,4,petrol,AT,4wd,grey,Luxury,1420000,2.0,245,1
X5,17,None,15,330000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,660000,3.0,231,1
3ER,12,320d,12,115000,не битый,2,sedan,4,diesel,AT,rwd,grey,Базовая,770000,2.0,177,1
7ER,5,M760Li,3,111431,не битый,3,sedan,4,petrol,AT,4wd,black,,4198000,6.6,609,1
X3,10,28i,9,82877,не битый,2,SUV,5,petrol,AT,4wd,black,,999000,3.0,258,1
X1,8,20i,8,107000,не битый,1,SUV,5,petrol,AT,4wd,purple,SE,780000,2.0,184,1
X6,13,35i,10,179000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,1170000,3.0,306,1
X3,10,20d,7,150000,не битый,1,SUV,5,diesel,AT,4wd,black,Special edition,1350000,2.0,184,1
X6,13,40d,10,182289,не битый,2,SUV,5,diesel,AT,4wd,black,,1497000,3.0,306,1
5ER,11,528i,9,132000,не битый,1,sedan,4,petrol,AT,4wd,black,Luxury,890000,2.0,245,1
3ER,15,325xi,12,218158,не битый,3,coupe,2,petrol,AT,4wd,black,,637000,2.5,218,1
3ER,15,325i,10,146500,не битый,3,coupe,2,petrol,AT,rwd,black,Базовая,800000,2.5,218,1
X6,11,None,11,205000,не битый,3,SUV,5,petrol,AT,4wd,white,M,1050000,4.4,555,1
5ER,18,525i,16,210000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,350000,2.5,192,1
5ER,13,530i,12,103000,не битый,2,sedan,4,petrol,AT,rwd,silver,,750000,3.0,272,1
3ER,12,318i,12,260000,не битый,3,sedan,4,petrol,AT,rwd,white,Базовая,425000,2.0,143,1
X5,7,25d,4,81200,не битый,3,SUV,5,diesel,AT,4wd,grey,Business,2229000,3.0,218,1
X5,14,30i,11,257000,не битый,3,SUV,5,petrol,AT,4wd,white,Базовая,825000,3.0,272,1
X6,13,50i,10,101000,не битый,1,SUV,5,petrol,AT,4wd,grey,Базовая,780000,4.4,407,1
7ER,8,750i,7,131000,не битый,1,sedan,4,petrol,AT,4wd,black,Базовая,1138000,4.4,450,1
3ER,30,318i,21,250000,не битый,2,sedan,4,petrol,MT,rwd,black,Базовая,160000,1.8,115,1
X6,13,35i,11,128000,не битый,3,SUV,5,petrol,AT,4wd,dark_blue,Базовая,999000,3.0,306,1
5ER,11,535i,7,168000,не битый,2,wagon,5,petrol,AT,4wd,grey,Touring,1600000,3.0,306,1
4ER,3,420d,3,47000,не битый,2,coupe,2,diesel,AT,4wd,dark_blue,Base,2050000,2.0,190,1
3ER,12,318i,11,173000,не битый,3,sedan,4,petrol,AT,rwd,black,SE,459000,2.0,136,1
3ER,15,325i,10,146500,не битый,3,coupe,2,petrol,AT,rwd,black,Базовая,800000,2.5,218,1
5ER,4,520i,3,67000,не битый,1,sedan,4,petrol,AT,rwd,white,Business,1889000,2.0,184,1
